X,Y,R,T
-7.78588e-10,-1.08571e-11,7.78247e-10,-179.208
-7.79213e-10,-1.11414e-11,7.79441e-10,-179.148
-7.79099e-10,-1.10845e-11,7.79384e-10,-179.136
-7.79441e-10,-1.05161e-11,7.79611e-10,-179.28
-7.81316e-10,-1.06866e-11,7.80634e-10,-179.166
-7.8126e-10,-1.1653e-11,7.81146e-10,-179.166
-7.80464e-10,-1.08003e-11,7.80634e-10,-179.178
-7.80805e-10,-1.1653e-11,7.81544e-10,-179.142
-7.80862e-10,-1.17666e-11,7.80236e-10,-179.082
-7.81316e-10,-1.20509e-11,7.81771e-10,-179.07
-7.80066e-10,-1.31877e-11,7.81146e-10,-178.986
